,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi,per_unit,call_put,exercise_price,maturity_date,s_month,equities_close,maturity_time,iv,value,vega
64,10001530.SH,20190102,SSE,0.0113,0.0113,0.0114,0.0133,0.006,0.0063,0.0062,1.2163,905089.81,24122.0,10202.0,1,2.45,20190123,201901,2.255,0.057534246575342465,0.2591656371799582,-0.061155639557097796,0.23543669075450802
65,10001440.SH,20190102,SSE,0.0562,0.0562,0.054000000000000006,0.066,0.0512,0.063,0.063,0.2522,1605929.47,10112.0,10202.0,-1,2.205,20190327,201903,2.255,0.23013698630136986,0.20640492755996265,0.01794009915275352,0.6179543045270877
66,10001602.SH,20190102,SSE,0.0834,0.0834,0.0836,0.0864,0.0679,0.07,0.07,0.1989,1445640.0,3024.0,10000.0,1,2.5,20190626,201906,2.255,0.4794520547945205,0.2457808533911166,-0.007262126258346546,0.4228768472340509
67,10001429.SH,20190102,SSE,0.2255,0.2266,0.2266,0.254,0.2191,0.2478,0.2486,0.0231,568792.11,3025.0,10202.0,-1,2.5,20190327,201903,2.255,0.23013698630136986,0.16545325873735728,0.2015473239914065,0.36370393652846045
68,10001657.SH,20190102,SSE,0.0273,0.0273,0.0256,0.0322,0.0224,0.0293,0.0293,0.3681,1047044.0,4348.0,10000.0,-1,2.15,20190227,201902,2.255,0.15342465753424658,0.20563137224614703,-0.010931552476066142,0.5272900670321927
69,10001601.SH,20190102,SSE,0.0996,0.0996,0.1014,0.1014,0.08199999999999999,0.0845,0.0843,0.2115,1817009.0,2821.0,10000.0,1,2.45,20190626,201906,2.255,0.4794520547945205,0.2474668872047704,0.0008051872049744668,0.4981352732608671
70,10001625.SH,20190102,SSE,0.1119,0.1119,0.1177,0.1213,0.0803,0.0851,0.0851,3.0066,27216642.0,17309.0,10000.0,1,2.2,20190123,201901,2.255,0.057534246575342465,0.24533770505718605,0.051203895838675795,0.2909588737110391
71,10001617.SH,20190102,SSE,0.0006,0.0006,0.0006,0.0015,0.0002,0.0004,0.0004,0.5543,22207.0,51698.0,10000.0,1,2.7,20190123,201901,2.255,0.057534246575342465,0.30357618204584635,-0.12961933815945048,0.18717308417975376
72,10001525.SH,20190102,SSE,0.1091,0.1091,0.1091,0.1147,0.0777,0.0845,0.0845,0.5834,5236604.98,3286.0,10202.0,1,2.205,20190123,201901,2.255,0.057534246575342465,0.25864491562633374,0.048463361719076614,0.2897888910915386
73,10001646.SH,20190102,SSE,0.054000000000000006,0.054000000000000006,0.051,0.0611,0.05,0.0581,0.0581,0.3456,1987706.0,6757.0,10000.0,-1,2.1,20190626,201906,2.255,0.4794520547945205,0.20655462684684867,0.003832765585424669,1.1316097137058714
74,10001644.SH,20190102,SSE,0.026000000000000002,0.026000000000000002,0.0244,0.0309,0.0233,0.0292,0.0292,0.619,1727187.0,12728.0,10000.0,-1,2.1,20190327,201903,2.255,0.23013698630136986,0.20857318357943566,-0.017071857372508492,0.7144204519632633
